District,Neighborhood,Num_Of_Room,Area,Age,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Floor_basement,Floor_first floor,Floor_interstage,Floor_top floor,Heat_type_Kombi,Heat_type_Merkezi,Heat_type_Merkezi (Pay Ölçer),Usage_Boş,Usage_Kiracılı,Usage_Mülk Sahibi,Price
Mamak,Yeşilbayır,4,122.0,11,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1680000
Sincan,Mareşal Çakmak,4,125.0,25,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1429000
Pursaklar,Mimar Sinan,4,125.0,15,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1595000
Keçiören,Köşk,4,130.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1400000
Mamak,Mutlu,3,105.0,6,3,1,0,1,0,1,0,0,1,0,0,0,1,0,949000
Keçiören,Yayla,4,135.0,10,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1789000
Altındağ,Beşikkaya,4,150.0,5,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1850000
Çankaya,İşçi Blokları,5,210.0,10,10,1,0,2,0,0,1,0,1,0,0,1,0,0,7950000
Sincan,Akşemsettin,4,100.0,15,4,1,0,1,0,1,0,0,1,0,0,0,1,0,930000
Yenimahalle,Pamuklar,4,175.0,5,8,1,0,2,0,0,1,0,0,0,1,1,0,0,2550000
Çankaya,Seyranbağları,3,100.0,60,5,1,0,1,0,0,1,0,0,1,0,0,1,0,1600000
Mamak,Şirintepe,3,95.0,12,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1029000
Etimesgut,Elvan,4,150.0,10,4,1,0,1,0,0,1,0,1,0,0,0,0,1,1975000
Sincan,Pınarbaşı,4,260.0,10,3,1,0,2,0,0,1,0,1,0,0,0,0,1,2149000
Çankaya,Emek,3,80.0,40,3,1,1,1,0,1,0,0,0,1,0,0,1,0,2100000
Mamak,Cengizhan,3,110.0,15,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1180000
Sincan,Mustafa Kemal,4,138.0,3,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1690000
Etimesgut,İstasyon,5,200.0,12,6,1,0,2,0,0,1,0,1,0,0,1,0,0,2475000
Çankaya,Maltepe,4,100.0,30,4,1,0,1,0,1,0,0,0,1,0,0,0,1,2100000
Mamak,Bahçelerüstü,4,120.0,20,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1135000
Keçiören,Tepebaşı,4,130.0,15,5,1,0,1,1,0,0,0,1,0,0,0,1,0,1210000
Çankaya,Keklik Pınarı,4,120.0,30,10,1,0,1,0,0,1,0,1,0,0,1,0,0,2445000
